timeindex,wind-profile-LA,pv-profile-LA,wind-profile-KH,pv-profile-KH,wind-profile-MM,pv-profile-MM,wind-profile-TH,pv-profile-TH,wind-profile-VN,pv-profile-VN
2050-01-04T19:00:00Z,0.017,0,0.136,0,0.084,0,0.425,0,0.234,0
2050-01-04T20:00:00Z,0.015,0,0.118,0,0.083,0,0.433,0,0.242,0
2050-01-04T21:00:00Z,0.008,0,0.101,0,0.121,0,0.447,0,0.21,0
2050-01-04T22:00:00Z,0.003,0,0.09,0,0.196,0,0.454,0,0.192,0
2050-01-04T23:00:00Z,0.003,0,0.08,0.016,0.233,0,0.448,0,0.192,0.03
2050-01-05T00:00:00Z,0.003,0.086,0.038,0.223,0.188,0.081,0.331,0.153,0.302,0.194
2050-01-05T01:00:00Z,0.001,0.326,0.122,0.436,0.068,0.336,0.388,0.383,0.388,0.437
2050-01-05T02:00:00Z,0.002,0.519,0.066,0.59,0.055,0.53,0.291,0.555,0.343,0.609
2050-01-05T03:00:00Z,0.01,0.678,0.023,0.679,0.005,0.666,0.132,0.646,0.296,0.709
2050-01-05T04:00:00Z,0.029,0.727,0.007,0.716,0,0.733,0.034,0.701,0.259,0.742
2050-01-05T05:00:00Z,0.06,0.743,0.003,0.703,0,0.754,0.009,0.707,0.246,0.728
2050-01-05T06:00:00Z,0.1,0.689,0.005,0.636,0.002,0.727,0.005,0.652,0.265,0.663
2050-01-05T07:00:00Z,0.137,0.599,0.011,0.524,0.007,0.659,0.005,0.561,0.308,0.55
2050-01-05T08:00:00Z,0.148,0.439,0.025,0.334,0.015,0.541,0.006,0.418,0.351,0.38
2050-01-05T09:00:00Z,0.08,0.216,0.042,0.161,0.021,0.363,0.013,0.223,0.337,0.156
2050-01-05T10:00:00Z,0.051,0.012,0.045,0.012,0.033,0.122,0.045,0.043,0.283,0.002
2050-01-05T11:00:00Z,0.051,0,0.074,0,0.078,0,0.107,0,0.249,0
2050-01-05T12:00:00Z,0.071,0,0.085,0,0.148,0,0.162,0,0.22,0
2050-01-05T13:00:00Z,0.102,0,0.075,0,0.219,0,0.179,0,0.165,0
2050-01-05T14:00:00Z,0.151,0,0.059,0,0.251,0,0.155,0,0.124,0
2050-01-05T15:00:00Z,0.171,0,0.055,0,0.232,0,0.114,0,0.115,0
